source,chapter,section,title,primary_phylum,primary_class,primary_order
SLAM Handbook,12,12,Leg Odometry for SLAM,Sensor & Odometry Modalities,Proprioceptive and Aided Odometry,Leg Odometry
SLAM Handbook,12,12.3,Contact Estimation,Measurement Front-End,Odometry Front-End,Preintegration and Propagation
SLAM Handbook,13,13,Boosting SLAM with Deep Learning,"Learning, Semantics & Spatial AI",Learning for Classical SLAM Components,Learned Geometry
SLAM Handbook,13,13.2,Deep Learning for Feature Matching and Optical Flow,"Learning, Semantics & Spatial AI",Learning for Classical SLAM Components,Learned Correspondence
SLAM Handbook,13,13.3,Differentiable Bundle Adjustment and DROID-SLAM,"Learning, Semantics & Spatial AI",Learning for Classical SLAM Components,Learned Optimization
SLAM Handbook,14,14,Map Representations with Differentiable Volume Rendering,Map Representations,Neural and Differentiable Maps,Neural Implicit Maps
SLAM Handbook,14,14.3,3D Gaussian Splatting,Map Representations,Neural and Differentiable Maps,Gaussian Maps
SLAM Handbook,15,15,Dynamic and Deformable SLAM,Map Representations,Dynamic and Deformable Maps,Dynamic SLAM Maps
SLAM Handbook,15,15.4,Deformable SLAM,Map Representations,Dynamic and Deformable Maps,Deformable SLAM Maps
SLAM Handbook,16,16,Metric-Semantic SLAM,Map Representations,Semantic and Structured Maps,Metric-Semantic Maps
SLAM Handbook,16,16.4,Hierarchical Metric-Semantic Representations and 3D Scene Graphs,Map Representations,Semantic and Structured Maps,Hierarchical Spatial Maps
SLAM Handbook,17,17,Towards Open-World Spatial AI,"Learning, Semantics & Spatial AI",Foundation and Open-World Spatial AI,Foundation Models for Spatial AI
SLAM Handbook,17,17.3,Open-World Mapping,"Learning, Semantics & Spatial AI",Foundation and Open-World Spatial AI,Open-World Mapping
SLAM Handbook,18,18,Computational Structure of Spatial AI Systems,"Learning, Semantics & Spatial AI",Computational Structure,Spatial AI Graphs
SLAM Handbook,18,18.5,Mapping Spatial AI Graphs to Hardware,"Learning, Semantics & Spatial AI",Computational Structure,Distributed and Hardware-Aware Computation
SLAM Handbook,18,18.7,Continual Learning within Factor Graphs,"Learning, Semantics & Spatial AI",Computational Structure,Spatial AI Graphs
