id,year,title,entry,phylum,class,order,genus,match_method,confidence,rationale
11,2014,Experimental Analysis of Dynamic Covariance Scaling for Robust Map Optimization Under Bad Initial Estimates,"Agarwal, P., Grisetti, G., Tipaldi, G. D., Spinello, L., Burgard, W., and Stachniss, C. 2014. Experimental Analysis of Dynamic Covariance Scaling for Robust Map Optimization Under Bad Initial Estimates. In: IEEE Intl. Conf. on Robotics and Automation (ICRA).",Back-End Optimization & Inference,Robust Back-End,Outlier-Robust Optimization,Max-Mixture Models,codex_context_semantic,0.9,"Cited in robustness chapter further-reading context. Strongest Handbook context: 3.4 Further Readings & Recent Trends  99. Genus label: Max-Mixture Models (codex_context_genus, score=38)."
12,2013,Robust map optimization using dynamic covariance scaling,"Agarwal, Pratik, Tipaldi, Gian Diego, Spinello, Luciano, Stachniss, Cyrill, and Burgard, Wolfram. 2013. Robust map optimization using dynamic covariance scaling. In: IEEE Intl. Conf. on Robotics and Automation (ICRA).",Back-End Optimization & Inference,Robust Back-End,Outlier-Robust Optimization,Robust Pose Graph Optimization,codex_context_semantic,0.82,"Title is about robust back-end optimization. Genus label: Robust Pose Graph Optimization (codex_context_genus, score=12)."
13,2009,Building Rome in a Day,"Agarwal, S., Snavely, N., Simon, I., Seitz, S. M., and Szeliski, R. 2009. Building Rome in a Day. In: Intl. Conf. on Computer Vision (ICCV).",Problem & System Context,Historical and Scope Framing,SLAM Eras,Spatial AI Era,codex_context_fallback,0.42,"No reliable citation section was recovered; retained parser seed as low-confidence fallback. Genus label: Spatial AI Era (codex_context_genus, score=6)."
14,2011,Building Rome in a day,"Agarwal, Sameer, Furukawa, Yasutaka, Snavely, Noah, Simon, Ian, Curless, Brian, Seitz, Steven M, and Szeliski, Richard. 2011. Building Rome in a day. Communications of the ACM, 54(10), 105-112.",Sensor & Odometry Modalities,Visual SLAM,Visual System Families,Hybrid Visual SLAM,codex_context_semantic,0.66,"Cited in visual SLAM history/terminology. Strongest Handbook context: 7.1 Historical Background and Terminology  195. Genus label: Hybrid Visual SLAM (codex_context_genus, score=3)."
15,2022,Ceres Solver,"Agarwal, Sameer, Mierle, Keir, and Team, The Ceres Solver. 2022 (3). Ceres Solver.",Back-End Optimization & Inference,Certifiable and Differentiable Solvers,Differentiable Optimization,Differentiating Through Least Squares,codex_context_semantic,0.82,"Cited in differentiable optimization chapter. Strongest Handbook context: 4.4.1 Example of Implementation of Differentiable Optimization. Genus label: Differentiating Through Least Squares (codex_context_genus, score=6)."
16,1991,The HERO Algorithm for Ray-tracing Octrees,"Agate, M., Grimsdale, R. L., and Lister, P. F. 1991. The HERO Algorithm for Ray-tracing Octrees. Pages 61-73 of: Advances in Computer Graphics Hardware IV.",Map Representations,Semantic and Structured Maps,Metric-Semantic Maps,Dense Semantic Maps,codex_context_semantic,0.66,"Cited in dense metric-semantic representation context. Strongest Handbook context: 16.3 Dense Metric-Semantic Representations                              475. Genus label: Dense Semantic Maps (codex_context_genus, score=6)."
17,2022,Taskography: Evaluating Robot Task Planning over Large 3D Scene Graphs,"Agia, Christopher, Jatavallabhula, Krishna Murthy, Khodeir, Mohamed, Miksik, Ondrej, Vineet, Vibhav, Mukadam, Mustafa, Paull, Liam, and Shkurti, Florian. 2022. Taskography: Evaluating Robot Task Planning over Large 3D Scene Graphs. Pages 46-58 of: Conf. on Robot Learning (CoRL).",Map Representations,Semantic and Structured Maps,Hierarchical Spatial Maps,3D Scene Graphs,codex_context_semantic,0.82,"Title is about hierarchical/scene-graph map representation. Genus label: 3D Scene Graphs (codex_context_genus, score=61)."
18,2019,Differentiable Convex Optimization Layers,"Agrawal, A., Amos, B., Barratt, S., Boyd, S., Diamond, S., and Kolter, Z. 2019. Differentiable Convex Optimization Layers. In: Advances in Neural Information Processing Systems.",Back-End Optimization & Inference,Certifiable and Differentiable Solvers,Differentiable Optimization,Implicit Differentiation,codex_context_semantic,0.66,"Cited in differentiable optimization chapter. Strongest Handbook context: 4.4 Numerical Challenges of Automatic Differentiation and Modern Libraries 117. Genus label: Implicit Differentiation (codex_context_genus, score=3)."
19,2022,Proprioceptive State Estimation of Legged Robots with Kinematic Chain Modeling,"Agrawal, Varun, Bertrand, Sylvain, Griffin, Robert J., and Dellaert, Frank. 2022. Proprioceptive State Estimation of Legged Robots with Kinematic Chain Modeling. Pages 178-185 of: IEEE Intl. Conf. on Humanoid Robots.",Sensor & Odometry Modalities,Proprioceptive and Aided Odometry,Leg Odometry,Legged State Estimation,codex_context_semantic,0.66,"Cited in leg odometry background. Strongest Handbook context: 12.1 Historical Background and Preliminaries  335. Genus label: Legged State Estimation (codex_context_genus, score=61)."
20,2015,Simultaneous pose and non-rigid shape with particle dynamics,"Agudo, Antonio, and Moreno-Noguer, Francesc. 2015. Simultaneous pose and non-rigid shape with particle dynamics. In: IEEE Conf. on Computer Vision and Pattern Recognition (CVPR).",Map Representations,Dynamic and Deformable Maps,Deformable SLAM Maps,Non-Rigid Surfaces,codex_context_semantic,0.66,"Cited in deformable SLAM context. Strongest Handbook context: 15.4 Deformable SLAM       447. Genus label: Non-Rigid Surfaces (codex_context_genus, score=6)."
21,2014,Good vibrations: A modal analysis approach for sequential non-rigid structure from motion,"Agudo, Antonio, Agapito, Lourdes, Calvo, Begona, and Montiel, J.M.M. 2014. Good vibrations: A modal analysis approach for sequential non-rigid structure from motion. In: IEEE Conf. on Computer Vision and Pattern Recognition (CVPR).",Map Representations,Dynamic and Deformable Maps,Deformable SLAM Maps,Non-Rigid Surfaces,codex_context_semantic,0.66,"Cited in deformable SLAM context. Strongest Handbook context: 15.4 Deformable SLAM       447. Genus label: Non-Rigid Surfaces (codex_context_genus, score=6)."
22,2015,Sequential non-rigid structure from motion using physical priors,"Agudo, Antonio, Moreno-Noguer, Francesc, Calvo, Begon~a, and Montiel, Jos - e Mar - ia Mart - inez. 2015. Sequential non-rigid structure from motion using physical priors. IEEE Trans. Pattern Anal. Machine Intell., 38(5), 979-994.",Map Representations,Dynamic and Deformable Maps,Deformable SLAM Maps,Non-Rigid Surfaces,codex_context_semantic,0.66,"Cited in deformable SLAM context. Strongest Handbook context: 15.4 Deformable SLAM       447. Genus label: Non-Rigid Surfaces (codex_context_genus, score=6)."
23,2011,Trajectory space: A dual representation for nonrigid structure from motion,"Akhter, Ijaz, Sheikh, Yaser, Khan, Sohaib, and Kanade, Takeo. 2011. Trajectory space: A dual representation for nonrigid structure from motion. IEEE Trans. Pattern Anal. Machine Intell., 33(7), 1442-1456.",Map Representations,Dynamic and Deformable Maps,Deformable SLAM Maps,Non-Rigid Surfaces,codex_context_semantic,0.66,"Cited in deformable SLAM context. Strongest Handbook context: 15.4 Deformable SLAM       447. Genus label: Non-Rigid Surfaces (codex_context_genus, score=6)."
24,2016,Theano: A Python framework for fast computation of mathematical expressions,"Al-Rfou, Rami, Alain, Guillaume, Almahairi, Amjad, Angermueller, Christof, Bahdanau, Dzmitry, Ballas, Nicolas, Bastien, Fr - ed - eric, Bayer, Justin, Belikov, Anatoly, Belopolsky, Alexander, et al. 2016. Theano: A Python framework for fast computation of mathematical expressions. arXiv preprint, arXiv - 1605.",Back-End Optimization & Inference,Certifiable and Differentiable Solvers,Differentiable Optimization,Implicit Differentiation,codex_context_semantic,0.66,"Cited in differentiable optimization chapter. Strongest Handbook context: 4.4 Numerical Challenges of Automatic Differentiation and Modern Libraries 117. Genus label: Implicit Differentiation (codex_context_genus, score=3)."
25,2024,BFAR: improving radar odometry estimation using a bounded false alarm rate detector,"Alhashimi, Anas, Adolfsson, Daniel, Andreasson, Henrik, Lilienthal, Achim J., and Magnusson, Martin. 2024. BFAR: improving radar odometry estimation using a bounded false alarm rate detector. Autonomous Robots, 48(29).",Measurement Front-End,Odometry Front-End,Frame-to-Frame Motion Estimation,Radar Odometry,codex_context_semantic,0.74,"Cited in radar odometry context. Strongest Handbook context: 9.2.4 Registration-based Odometry. Genus label: Radar Odometry (codex_context_genus, score=42)."
26,2016,Photometric Bundle Adjustment for Vision-Based SLAM,"Alismail, Hatem, Browning, Brett, and Lucey, Simon. 2016. Photometric Bundle Adjustment for Vision-Based SLAM. Pages 324-341 of: Asian Conf. on Computer Vision (ACCV).",Back-End Optimization & Inference,Least-Squares Solvers,Nonlinear Optimization,Gauss-Newton,codex_context_semantic,0.66,"Cited in event-based back-end context. Strongest Handbook context: 10.5 Back-end of an Event-based SLAM System. Genus label: Gauss-Newton (codex_context_genus_default, score=0)."
27,1997,Complementarity and nondegeneracy in semidefinite programming,"Alizadeh, F., Haeberly, JP.A., and Overton, M.L. 1997. Complementarity and nondegeneracy in semidefinite programming. Mathematical Programming, 77, 111-128.",Back-End Optimization & Inference,Certifiable and Differentiable Solvers,Certifiably Optimal SLAM,Semidefinite Relaxation,codex_context_semantic,0.82,"Title is about certifiable or SDP-style optimization. Genus label: Semidefinite Relaxation (codex_context_genus, score=38)."
28,2014,Metarooms: Building and maintaining long term spatial models in a dynamic world,"Ambru - s, Rare - s, Bore, Nils, Folkesson, John, and Jensfelt, Patric. 2014. Metarooms: Building and maintaining long term spatial models in a dynamic world. Pages 1854-1861 of: IEEE/RSJ Intl. Conf. on Intelligent Robots and Systems (IROS). IEEE.",Map Representations,Dynamic and Deformable Maps,Dynamic SLAM Maps,Long-Term Lifelong Changes,codex_context_semantic,0.66,"Cited in long-term/lifelong SLAM context. Strongest Handbook context: 15.3 Long-term Dynamic and Lifelong SLAM  439. Genus label: Long-Term Lifelong Changes (codex_context_genus, score=60)."
29,1996,An approximate minimum degree ordering algorithm,"Amestoy, P.R., Davis, T., and Duff, I.S. 1996. An approximate minimum degree ordering algorithm. SIAM Journal on Matrix Analysis and Applications, 17(4), 886-905.",Back-End Optimization & Inference,Sparsity and Incrementality,Variable Elimination,Fill-in Reduction,codex_context_semantic,0.66,"Cited in sparsity / factor graph structure context. Strongest Handbook context: 1.5.3 Sparse Factorization. Genus label: Fill-in Reduction (codex_context_genus, score=16)."
30,2022,"VISTA 2.0: An Open, Data-driven Simulator for Multimodal Sensing and Policy Learning for Autonomous Vehicles","Amini, Alexander, Wang, Tsun-Hsuan, Gilitschenski, Igor, Schwarting, Wilko, Liu, Zhijian, Han, Song, Karaman, Sertac, and Rus, Daniela. 2022. VISTA 2.0: An Open, Data-driven Simulator for Multimodal Sensing and Policy Learning for Autonomous Vehicles. In: IEEE Intl. Conf. on Robotics and Automation (ICRA). IEEE.","Robustness, Evaluation & Operations",Evaluation,Datasets and Benchmarks,Event SLAM Datasets,codex_context_semantic,0.66,"Cited in event datasets/simulators/benchmarks context. Strongest Handbook context: 10.7 Datasets, Simulators, and Benchmarks  297. Genus label: Event SLAM Datasets (codex_context_genus, score=22)."
31,2017,"A Low Power, Fully Event-Based Gesture Recognition System","Amir, Arnon, Taba, Brian, Berg, David, Melano, Timothy, McKinstry, Jeffrey, Nolfo, Carmelo Di, Nayak, Tapan, Andreopoulos, Alexander, Garreau, Guillaume, Mendoza, Marcela, Kusnitz, Jeff, Debole, Michael, Esser, Steve, Delbruck, Tobi, Flickner, Myron, and Modha, Dharmendra. 2017. A Low Power, Fully Event-Based Gesture Recognition System. Pages 7388-7397 of: IEEE Conf. on Computer Vision and Pattern Recognition (CVPR).",Sensor & Odometry Modalities,Event-Based SLAM,Event System Families,Event-Inertial Odometry,codex_context_semantic,0.82,"Title is primarily event-based perception/SLAM. Genus label: Event-Inertial Odometry (codex_context_genus, score=3)."
32,2019,CasADi: a software framework for nonlinear optimization and optimal control,"Andersson, Joel AE, Gillis, Joris, Horn, Greg, Rawlings, James B, and Diehl, Moritz. 2019. CasADi: a software framework for nonlinear optimization and optimal control. Mathematical Programming Computation, 11(1), 1-36.",Back-End Optimization & Inference,Certifiable and Differentiable Solvers,Differentiable Optimization,Differentiating Through Least Squares,codex_context_semantic,0.66,"Cited in differentiable optimization chapter. Strongest Handbook context: 4.4 Numerical Challenges of Automatic Differentiation and Modern Libraries 117. Genus label: Differentiating Through Least Squares (codex_context_genus, score=6)."
33,2023,Global Localization in Unstructured Environments Using Semantic Object Maps Built from Various Viewpoints,"Ankenbauer, Jacqueline, Lusk, Parker C., and How, Jonathan P. 2023 (Mar.). Global Localization in Unstructured Environments Using Semantic Object Maps Built from Various Viewpoints.",Back-End Optimization & Inference,Robust Back-End,Outlier-Robust Optimization,Robust Pose Graph Optimization,codex_context_semantic,0.66,"Cited in robustness chapter further-reading context. Strongest Handbook context: 3.4 Further Readings & Recent Trends  99. Genus label: Robust Pose Graph Optimization (codex_context_genus, score=6)."
34,2021,"OutlierRobust Estimation: Hardness, Minimally Tuned Algorithms, and Applications","Antonante, P., Tzoumas, V., Yang, H., and Carlone, L. 2021. OutlierRobust Estimation: Hardness, Minimally Tuned Algorithms, and Applications. IEEE Trans. Robotics, 38(1), 281-301. .",Back-End Optimization & Inference,Robust Back-End,Outlier-Robust Optimization,Max-Mixture Models,codex_context_semantic,0.74,"Cited in robust back-end optimization context. Strongest Handbook context: 3.3 Increasing Robustness to Outliers in the SLAM Back-end                   89. Genus label: Max-Mixture Models (codex_context_genus, score=38)."
35,2016,NetVLAD: CNN architecture for weakly supervised place recognition,"Arandjelovic, Relja, Gronat, Petr, Torii, Akihiko, Pajdla, Tomas, and Sivic, Josef. 2016. NetVLAD: CNN architecture for weakly supervised place recognition. Pages 5297-5307 of: IEEE Conf. on Computer Vision and Pattern Recognition (CVPR).",Measurement Front-End,Place Recognition and Loop Closure,Place Recognition,Visual Place Recognition,codex_context_semantic,0.9,"Cited in radar place recognition context. Strongest Handbook context: 9.3 Radar Place Recognition  271. Genus label: Visual Place Recognition (codex_context_genus, score=61)."
36,2019,"3D Scene Graph: A Structure for Unified Semantics, 3D Space, and Camera","Armeni, Iro, He, Zhi-Yang, Gwak, JunYoung, Zamir, Amir R, Fischer, Martin, Malik, Jitendra, and Savarese, Silvio. 2019. 3D Scene Graph: A Structure for Unified Semantics, 3D Space, and Camera. Pages 5664-5673 of: Intl. Conf. on Computer Vision (ICCV).",Map Representations,Semantic and Structured Maps,Hierarchical Spatial Maps,3D Scene Graphs,codex_context_semantic,0.82,"Title is about hierarchical/scene-graph map representation. Genus label: 3D Scene Graphs (codex_context_genus, score=61)."
37,2023,Semantic OcTree Mapping and Shannon Mutual Information Computation for Robot Exploration,"Asgharivaskasi, Arash, and Atanasov, Nikolay. 2023. Semantic OcTree Mapping and Shannon Mutual Information Computation for Robot Exploration. IEEE Trans. Robotics, 39(3), 1910-1928.",Map Representations,Semantic and Structured Maps,Metric-Semantic Maps,Dense Semantic Maps,codex_context_semantic,0.96,"Cited in dense metric-semantic representation context. Strongest Handbook context: 16.3 Dense Metric-Semantic Representations  473. Genus label: Dense Semantic Maps (codex_context_genus, score=6)."
38,2025,Riemannian Optimization for Active Mapping With Robot Teams,"Asgharivaskasi, Arash, Girke, Fritz, and Atanasov, Nikolay. 2025. Riemannian Optimization for Active Mapping With Robot Teams. IEEE Trans. Robotics, 41, 1077-1097.",Map Representations,Semantic and Structured Maps,Metric-Semantic Maps,Dense Semantic Maps,codex_context_semantic,0.74,"Cited in dense metric-semantic representation context. Strongest Handbook context: 16.3 Dense Metric-Semantic Representations                                     477. Genus label: Dense Semantic Maps (codex_context_genus, score=6)."
39,2019,Change detection techniques for remote sensing applications: A survey,"Asokan, Anju, and Anitha, JJESI. 2019. Change detection techniques for remote sensing applications: A survey. Earth Science Informatics, 12, 143-160.",Map Representations,Dynamic and Deformable Maps,Dynamic SLAM Maps,Long-Term Lifelong Changes,codex_context_semantic,0.66,"Cited in long-term/lifelong SLAM context. Strongest Handbook context: 15.3 Long-term Dynamic and Lifelong SLAM  437. Genus label: Long-Term Lifelong Changes (codex_context_genus, score=60)."
40,2014,Semantic Localization Via the Matrix Permanent,"Atanasov, Nikolay, Zhu, Menglong, Daniilidis, Kostas, and Pappas, George J. 2014. Semantic Localization Via the Matrix Permanent. In: Robotics: Science and Systems (RSS).",Map Representations,Semantic and Structured Maps,Metric-Semantic Maps,Sparse Semantic Landmarks,codex_context_semantic,0.66,"Cited in sparse metric-semantic representation context. Strongest Handbook context: 16.2 Sparse Metric-Semantic Representations  469. Genus label: Sparse Semantic Landmarks (codex_context_genus, score=6)."
41,2016,Localization from semantic observations via the matrix permanent,"Atanasov, Nikolay, Zhu, Menglong, Daniilidis, Kostas, and Pappas, George J. 2016. Localization from semantic observations via the matrix permanent. Intl. J. of Robotics Research, 35(1-3), 73-99.",Map Representations,Semantic and Structured Maps,Metric-Semantic Maps,Dense Semantic Maps,codex_context_semantic,0.66,"Cited in dense metric-semantic representation context. Strongest Handbook context: 16.3 Dense Metric-Semantic Representations  471. Genus label: Dense Semantic Maps (codex_context_genus, score=6)."
42,2024,I2-SLAM: Inverting Imaging Process for Robust Photorealistic Dense SLAM,"Bae, Gwangtak, Choi, Changwoon, Heo, Hyeongjun, Kim, Sang Min, and Kim, Young Min. 2024. I2-SLAM: Inverting Imaging Process for Robust Photorealistic Dense SLAM. In: European Conf. on Computer Vision (ECCV).",Map Representations,Neural and Differentiable Maps,Gaussian Maps,3D Gaussian Splatting,codex_context_semantic,0.74,"Cited in 3D Gaussian Splatting context. Strongest Handbook context: 14.3.2 Applications of 3D Gaussian Splatting. Genus label: 3D Gaussian Splatting (codex_context_genus, score=93)."
43,2015,Neural machine translation by jointly learning to align and translate,"Bahdanau, Dzmitry, Cho, Kyunghyun, and Bengio, Yoshua. 2015. Neural machine translation by jointly learning to align and translate. In: Intl. Conf. on Learning Representations (ICLR).","Learning, Semantics & Spatial AI",Foundation and Open-World Spatial AI,Foundation Models for Spatial AI,Vision-Language Grounding,codex_context_semantic,0.66,"Cited in foundation model background context. Strongest Handbook context: 17.1.1 A Brief History of Foundation Models. Genus label: Vision-Language Grounding (codex_context_genus_default, score=0)."
44,2021,DOT: Dynamic object tracking for visual SLAM,"Ballester, Irene, Fonta - n, Alejandro, Civera, Javier, Strobl, Klaus H, and Triebel, Rudolph. 2021. DOT: Dynamic object tracking for visual SLAM. Pages 11705-11711 of: IEEE Intl. Conf. on Robotics and Automation (ICRA).",Map Representations,Dynamic and Deformable Maps,Dynamic SLAM Maps,Short-Term Dynamic Objects,codex_context_semantic,0.66,"Cited in short-term dynamic SLAM context. Strongest Handbook context: 15.2 Short-term Dynamics and Dynamic SLAM  425. Genus label: Short-Term Dynamic Objects (codex_context_genus, score=60)."
45,2024,Probing the 3D Awareness of Visual Foundation Models,"Banani, M. El, Raj, A., Maninis, K., Kar, A., Li, Y., Rubinstein, M., Sun, D., Guibas, L., Johnson, J., and Jampani, V. 2024. Probing the 3D Awareness of Visual Foundation Models. In: IEEE Conf. on Computer Vision and Pattern Recognition (CVPR).","Learning, Semantics & Spatial AI",Foundation and Open-World Spatial AI,Foundation Models for Spatial AI,Vision-Language Grounding,codex_context_semantic,0.82,"Cited in foundation models for Spatial AI context. Strongest Handbook context: 17.2 Foundation Models for Spatial AI  497. Genus label: Vision-Language Grounding (codex_context_genus, score=38)."
46,2020,"MAGSAC++, a fast, reliable and accurate robust estimator","Barath, Daniel, Noskova, Jana, Ivashechkin, Maksym, and Matas, Jiri. 2020. MAGSAC++, a fast, reliable and accurate robust estimator. Pages 1304-1312 of: IEEE Conf. on Computer Vision and Pattern Recognition (CVPR).",Back-End Optimization & Inference,Robust Back-End,Outlier-Robust Optimization,Robust Pose Graph Optimization,codex_context_semantic,0.66,"Cited in robustness chapter further-reading context. Strongest Handbook context: 3.4 Further Readings & Recent Trends. Genus label: Robust Pose Graph Optimization (codex_context_genus, score=3)."
47,2024,State Estimation for Robotics,"Barfoot, T D. 2024. State Estimation for Robotics. 2nd edn. Cambridge University Press.","State, Geometry & Probabilistic Modeling",State Representations,Lie Groups and Manifolds,SE(3) Pose States,codex_context_semantic,0.82,"Cited in manifold state representation context. Strongest Handbook context: 2.1 Optimization on Manifolds                            55. Genus label: SE(3) Pose States (codex_context_genus, score=38)."
48,2014,Associating Uncertainty with ThreeDimensional Poses for use in Estimation Problems,"Barfoot, T. D., and Furgale, P. T. 2014. Associating Uncertainty with ThreeDimensional Poses for use in Estimation Problems. IEEE Trans. Robotics, 30(3), 679-693.",Problem & System Context,Historical and Scope Framing,SLAM Eras,Spatial AI Era,codex_context_fallback,0.42,"No reliable citation section was recovered; retained parser seed as low-confidence fallback. Genus label: Spatial AI Era (codex_context_genus, score=3)."
49,2022,Vectorial Parameterizations of Pose,"Barfoot, T D, Forbes, J R, and D'Eleuterio, G M T. 2022. Vectorial Parameterizations of Pose. Robotica, 40(7), 2409-2427.","State, Geometry & Probabilistic Modeling",State Representations,Lie Groups and Manifolds,Retractions and Local Coordinates,codex_context_semantic,0.66,"Cited in manifold state representation context. Strongest Handbook context: 2.1 Optimization on Manifolds                                     59. Genus label: Retractions and Local Coordinates (codex_context_genus, score=35)."
50,2014,Batch ContinuousTime Trajectory Estimation as Exactly Sparse Gaussian Process Regression,"Barfoot, Tim D, Tong, Chi Hay, and Sa - rkk - a, Simo. 2014. Batch ContinuousTime Trajectory Estimation as Exactly Sparse Gaussian Process Regression. Pages 1-10 of: Robotics: Science and Systems (RSS), vol. 10. Citeseer.",Problem & System Context,Historical and Scope Framing,SLAM Eras,Spatial AI Era,codex_context_fallback,0.42,"No reliable citation section was recovered; retained parser seed as low-confidence fallback. Genus label: Spatial AI Era (codex_context_genus, score=3)."
51,2017,State estimation for robotics,"Barfoot, Timothy D. 2017. State estimation for robotics. Cambridge University Press.",Back-End Optimization & Inference,Certifiable and Differentiable Solvers,Differentiable Optimization,Differentiating Through Least Squares,codex_context_semantic,0.66,"Cited in differentiable optimization chapter. Strongest Handbook context: 4.4.1 Example of Implementation of Differentiable Optimization. Genus label: Differentiating Through Least Squares (codex_context_genus_default, score=0)."
